timestamp,safety_switch_available,safety_off
6970084000,1,1
6971092000,1,1
6972100000,1,1
6973108000,1,1
6974116000,1,1
6975116000,1,1
6976124000,1,1
6977132000,1,1
6978140000,1,1
6979148000,1,1
6980156000,1,1
6981164000,1,1
6982172000,1,1
6983180000,1,1
6984188000,1,1
6985196000,1,1
6986204000,1,1
6987212000,1,1
6988220000,1,1
6989228000,1,1
6990236000,1,1
6991244000,1,1
6992252000,1,1
6993260000,1,1
6994268000,1,1
6995276000,1,1
6996284000,1,1
6997292000,1,1
6998300000,1,1
6999308000,1,1
7000316000,1,1
7001324000,1,1
7002332000,1,1
7003340000,1,1
7004348000,1,1
7005356000,1,1
7006364000,1,1
7007372000,1,1
7008380000,1,1
7009388000,1,1
7010396000,1,1
7011404000,1,1
7012404000,1,1
7013412000,1,1
7014420000,1,1
7015428000,1,1
7016436000,1,1
7017444000,1,1
7018452000,1,1
7019460000,1,1
7020468000,1,1
7021476000,1,1
7022484000,1,1
7023492000,1,1
7024500000,1,1
7025508000,1,1
7026516000,1,1
7027524000,1,1
7028532000,1,1
7029540000,1,1
7030548000,1,1
7031556000,1,1
7032564000,1,1
7033572000,1,1
7034580000,1,1
7035588000,1,1
7036596000,1,1
7037604000,1,1
7038612000,1,1
7039620000,1,1
7040628000,1,1
7041636000,1,1
7042644000,1,1
7043652000,1,1
7044660000,1,1
7045668000,1,1
7046676000,1,1
7047684000,1,1
7048692000,1,1
